generation,train_best,train_avg,train_worst
1,398,55,0
2,2081,144,0
3,1875,308,0
4,3080,383,0
5,5751,1413,0
6,3100,986,0
7,5569,1122,0
8,1919,468,0
9,4290,2283,0
10,1632,338,0
11,5369,2083,0
12,1337,322,0
13,1337,316,0
14,2007,552,0
15,3710,385,0
16,3524,916,0
17,3085,383,0
18,4404,738,0
19,6755,1919,0
20,6640,2174,0
21,4100,1190,0
22,4300,646,0
23,8157,1449,0
24,3125,1024,0
25,1880,377,0
26,2110,616,0
27,3700,794,0
28,3700,479,0
29,1832,370,0
30,3318,1284,0
31,2077,358,0
32,3901,1603,0
33,2032,243,0
34,1838,274,0
35,2074,891,0
36,5371,896,0
37,4662,1578,0
38,2050,380,0
39,2248,318,0
40,4317,682,0
41,4126,1646,0
42,5360,1496,0
43,1683,419,0
44,2517,1200,0
45,2733,683,0
46,8104,384,0
47,2039,381,0
48,4690,1433,0
49,1487,312,0
50,3282,1228,0
51,1716,310,0
52,2749,342,0
53,5225,1579,0
54,4845,449,0
55,4921,368,0
56,3528,539,0
57,4585,1261,0
58,5014,1353,0
59,5554,1876,0
60,2518,1079,0
61,2575,444,0
62,1832,272,0
63,2775,613,0
64,3087,455,0
65,5134,2345,0
66,3248,986,0
67,5955,616,0
68,1674,315,0
69,2613,904,0
70,5286,2395,0
71,5009,334,0
72,1999,623,0
73,6555,812,0
74,4117,1194,0
75,10798,1431,0
76,6337,491,0
77,4208,431,0
78,1286,310,0
79,2314,1311,0
80,2297,478,0
81,5534,2055,0
82,2872,880,0
83,4523,1487,0
84,4333,1702,0
85,4525,1407,0
86,1637,344,0
87,3501,473,0
88,2460,480,0
89,1836,348,0
90,2828,799,0
91,1636,341,0
92,1019,320,0
93,1249,345,0
94,3270,1187,0
95,1844,776,0
96,2809,1709,0
97,6352,2380,0
98,2249,349,0
99,2111,339,0
100,1068,715,0
