generation,train_best,train_avg,train_worst,bestPassed,totalTraffic,fullPass,streak
1,259,40,0,0,20,0,0
2,1627,116,0,1,20,0,0
3,1627,167,0,1,20,0,0
4,1627,247,0,1,20,0,0
5,1627,328,0,1,20,0,0
6,1627,288,0,1,20,0,0
7,1627,262,0,1,20,0,0
8,1627,265,0,3,20,0,0
9,1693,289,0,3,20,0,0
10,1693,355,0,3,20,0,0
11,1693,349,0,3,20,0,0
12,1693,349,0,3,20,0,0
13,1693,252,0,3,20,0,0
14,1702,307,0,3,20,0,0
15,1702,326,0,3,20,0,0
16,1702,289,0,3,20,0,0
17,1702,357,0,3,20,0,0
18,2509,339,0,5,20,0,0
19,2509,315,0,5,20,0,0
20,2509,404,0,5,20,0,0
21,2509,399,0,5,20,0,0
22,2509,367,0,5,20,0,0
23,2509,353,0,5,20,0,0
24,2509,414,0,5,20,0,0
25,2509,321,0,5,20,0,0
26,2515,402,0,5,20,0,0
27,2515,309,0,5,20,0,0
28,2515,371,0,5,20,0,0
29,2515,396,0,5,20,0,0
30,2515,374,0,5,20,0,0
31,2515,323,0,5,20,0,0
32,2515,339,0,5,20,0,0
33,2515,293,0,5,20,0,0
34,2515,323,0,5,20,0,0
35,2515,292,0,5,20,0,0
36,2515,344,0,5,20,0,0
37,2515,343,0,5,20,0,0
38,2515,291,0,5,20,0,0
39,2515,278,0,5,20,0,0
40,2515,350,0,5,20,0,0
41,2515,380,0,5,20,0,0
42,2515,341,0,5,20,0,0
43,2515,357,0,5,20,0,0
44,2515,328,0,5,20,0,0
45,2515,338,0,5,20,0,0
46,2515,340,0,5,20,0,0
47,2515,323,0,5,20,0,0
48,2515,354,0,5,20,0,0
49,2515,326,0,5,20,0,0
50,2515,305,0,5,20,0,0
51,2515,343,0,5,20,0,0
52,2515,365,0,5,20,0,0
53,2515,308,0,5,20,0,0
54,2515,321,0,5,20,0,0
55,2515,360,0,5,20,0,0
56,2515,350,0,5,20,0,0
57,2515,356,0,5,20,0,0
58,2542,358,0,5,20,0,0
59,2542,308,0,5,20,0,0
60,2542,322,0,5,20,0,0
61,2542,287,0,5,20,0,0
62,2542,305,0,5,20,0,0
63,2542,250,0,5,20,0,0
64,2542,300,0,5,20,0,0
65,2542,260,0,5,20,0,0
66,2542,246,0,5,20,0,0
67,2542,302,0,5,20,0,0
68,2542,300,0,5,20,0,0
69,2542,272,0,5,20,0,0
70,2542,275,0,5,20,0,0
71,2542,309,0,5,20,0,0
72,2542,327,0,5,20,0,0
73,2542,327,0,5,20,0,0
74,2542,350,0,5,20,0,0
75,2542,302,0,5,20,0,0
76,2542,303,0,5,20,0,0
77,2542,295,0,5,20,0,0
78,2542,266,0,5,20,0,0
79,2542,261,0,5,20,0,0
80,2542,338,0,5,20,0,0
81,2542,329,0,5,20,0,0
82,2542,277,0,5,20,0,0
83,2542,325,0,5,20,0,0
84,2542,353,0,5,20,0,0
85,2542,275,0,5,20,0,0
86,2542,293,0,5,20,0,0
87,2542,275,0,5,20,0,0
88,2559,357,0,5,20,0,0
89,2559,279,0,5,20,0,0
90,2559,275,0,5,20,0,0
91,2559,306,0,5,20,0,0
92,2590,315,0,5,20,0,0
93,2590,345,0,5,20,0,0
94,2590,383,0,5,20,0,0
95,2590,347,0,5,20,0,0
96,2590,262,0,5,20,0,0
97,2590,252,0,5,20,0,0
98,2590,297,0,5,20,0,0
99,2590,301,0,5,20,0,0
100,2590,266,0,5,20,0,0
